"default","Welcome to Vimala College"
"Principal","Dr Sr Beena Jose"
"Location","Cheroor, Thissur, Kerala"
"Courses","Mathematics Statistics Physics Computer Science Chemistry Botany Zoology Home Science & Psychology English Functional English Malayalam Hindi Sanskrit History Commerce Economics, Sociology, Social Work, Political Science " 
"Computer Science HOD","SR ANI DAVIS K Computer Science "
"Chemistry HOD","DR THERESA C J Chemistry"
"Sociology HOD","Dr V Shinju Sociology"
"Maths HOD","Ms Swarna K L Maths"
"Statistics HOD","Dr Divya P R Statistics"
"Physics HOD","DR MALINI K A Physics"
"Botany HOD","Dr Sheeja T Tharakan Botany"
"Zoology HOD","DR HONEY SEBASTIAN Zoology"
"Home Science HOD","Dr Thomas Ruby Mariamma Home Science"
"Psychology HOD","Dr Sinto P Anto Psychology"
"English HOD","Dr Nisha Francis Alapatt English "
"Malayalam HOD","Dr Hemamalini M Malayalam"
"Hindi HOD","Dr Mimi Mani Panakkal Hindi"
"Commerce HOD","Dr Rose V J Commerce"
"Economics HOD","Dr Vimala M Economics"
"Social Work HOD","DR JAYA CHERIAN Social Work"
